opportunity_id,sales_agent,product,account,deal_stage,engage_date,close_date,close_value,Cycle
1C1I7A6R,Moses Frase,GTX Plus Basic,Cancity,Won,10/20/2016,3/1/2017,1054,132.00
Z063OYW0,Darcel Schlecht,GTXPro,Isdom,Won,10/25/2016,3/11/2017,4514,137.00
EC4QE1BX,Darcel Schlecht,MG Special,Cancity,Won,10/25/2016,3/7/2017,50,133.00
MV1LWRNH,Moses Frase,GTX Basic,Codehow,Won,10/25/2016,3/9/2017,588,135.00
PE84CX4O,Zane Levy,GTX Basic,Hatfan,Won,10/25/2016,3/2/2017,517,128.00
ZNBS69V1,Anna Snelling,MG Special,Ron-tech,Won,10/29/2016,3/1/2017,49,123.00
9ME3374G,Vicki Laflamme,MG Special,J-Texon,Won,10/30/2016,3/2/2017,57,123.00
7GN8Q4LL,Markita Hansen,GTX Basic,Cheers,Won,11/1/2016,3/7/2017,601,126.00
OLK9LKZB,Niesha Huffines,GTX Plus Basic,Zumgoity,Won,11/1/2016,3/3/2017,1026,122.00
HAXMC4IX,James Ascencio,MG Advanced,,Engaging,11/3/2016,12/31/2017,0,423.00
NL3JZH1Z,Anna Snelling,MG Special,Bioholding,Won,11/4/2016,3/10/2017,53,126.00
KWVA7VR1,Gladys Colclough,GTXPro,Genco Pura Olive Oil Company,Lost,11/4/2016,3/18/2017,0,134.00
S8DX3XOU,James Ascencio,GTX Plus Pro,Sunnamplex,Won,11/4/2016,3/10/2017,5169,126.00
ENB2XD8G,Maureen Marcano,GTX Plus Pro,Sonron,Won,11/4/2016,3/6/2017,4631,122.00
09YE9QOV,Hayden Neloms,MG Advanced,Finjob,Won,11/5/2016,3/11/2017,3393,126.00
3F5MZNEH,Rosalina Dieter,MG Special,Sonron,Lost,11/5/2016,3/3/2017,0,118.00
M6WEJXC0,Rosalina Dieter,MG Advanced,Scotfind,Won,11/5/2016,3/6/2017,3284,121.00
6PTR7VBR,Versie Hillebrand,MG Special,Treequote,Won,11/6/2016,3/5/2017,61,119.00
902REDPA,Daniell Hammack,GTXPro,Xx-zobam,Lost,11/7/2016,3/9/2017,0,122.00
5J9CMGDV,Elease Gluck,MG Special,Rantouch,Won,11/7/2016,3/8/2017,46,121.00
JJXRR8R6,James Ascencio,GTX Plus Pro,Fasehatice,Lost,11/7/2016,3/17/2017,0,130.00
WF4HA5NW,Moses Frase,MG Special,Ron-tech,Won,11/7/2016,3/18/2017,50,131.00
C5K2JP1H,Violet Mclelland,GTX Plus Basic,Vehement Capital Partners,Won,11/7/2016,3/11/2017,1014,124.00
ADRB8OMB,Darcel Schlecht,GTX Basic,Warephase,Won,11/8/2016,3/26/2017,561,138.00
SBCR987L,Kami Bicknell,GTX Basic,Zoomit,Won,11/10/2016,3/23/2017,590,133.00
UP409DSB,Maureen Marcano,MG Advanced,Ganjaflex,Engaging,11/10/2016,12/31/2017,0,416.00
JSD4APT2,Versie Hillebrand,MG Special,Bioholding,Won,11/10/2016,3/12/2017,61,122.00
AO9Z2D17,Violet Mclelland,GTX Plus Pro,Xx-zobam,Lost,11/10/2016,3/11/2017,0,121.00
5M58DTJK,Elease Gluck,MG Special,Cheers,Won,11/11/2016,3/5/2017,58,114.00
KNY1OSAB,Maureen Marcano,GTXPro,Labdrill,Won,11/11/2016,3/14/2017,4899,123.00
EAZDUUM9,Rosie Papadopoulos,MG Advanced,Zotware,Lost,11/11/2016,3/1/2017,0,110.00
2STUSOFE,Versie Hillebrand,MG Special,dambase,Won,11/11/2016,3/3/2017,67,112.00
JYKM0B00,James Ascencio,GTXPro,Xx-holding,Won,11/12/2016,3/6/2017,4338,114.00
KU28360J,Kary Hendrixson,GTX Basic,Fasehatice,Won,11/12/2016,3/19/2017,578,127.00
N4SD17JR,Reed Clapper,GTX Basic,Acme Corporation,Won,11/12/2016,3/1/2017,556,109.00
E67P9Y3Q,Rosalina Dieter,GTX Basic,Green-Plus,Won,11/12/2016,3/3/2017,635,111.00
AT3MMVIS,Wilburn Farren,MG Advanced,The New York Inquirer,Won,11/12/2016,3/7/2017,3045,115.00
REJ11LRY,Garret Kinder,GTX Plus Basic,Mathtouch,Won,11/13/2016,3/14/2017,1233,121.00
ERV0CAZ7,Versie Hillebrand,MG Special,Zumgoity,Won,11/13/2016,3/9/2017,60,116.00
8SOQADK7,Anna Snelling,MG Special,Gogozoom,Lost,11/14/2016,3/30/2017,0,136.00
TCHFT25B,Darcel Schlecht,GTX Basic,Stanredtax,Lost,11/14/2016,3/8/2017,0,114.00
CZVN09WN,Darcel Schlecht,GTX Plus Basic,Konmatfix,Won,11/14/2016,3/20/2017,1170,126.00
EG7OFLFR,Kami Bicknell,GTX Basic,,Engaging,11/14/2016,12/31/2017,0,412.00
30UQWUKB,Marty Freudenburg,GTX Plus Basic,Genco Pura Olive Oil Company,Won,11/15/2016,3/20/2017,1162,125.00
OLVI7L8M,Cassey Cress,GTXPro,,Engaging,11/16/2016,12/31/2017,0,410.00
97UN20YY,Darcel Schlecht,MG Advanced,Conecom,Won,11/16/2016,3/14/2017,3725,118.00
